Период;KR;M2;FW;FC;VVP;Ex;Im;ZZ;ZK;ZBT;IVPT;IP1;CE3;PBT1;TI1;CK1;CKD1;CKG1;GI1;NNI1;ZMOS;SE;MIP;W1;Propin1;NW1;TRT1;PR1;C1;CPD1;SBER1;NR1;RMI1;AMAW;AAPEN;AMINC;LPOOR;N;EAP;EMEC;UNEM;UNEMproc;UNEMREG
01.03.2013;5.5;26760.57;110.9;18274.51;21507.5;126.5;92.6;15.69;0.08;1.78;113.2;101.9;47.8;37.9;14.3;12101.5;8712.4;3325.8;3217.6;2488.6;729;1162.9;9374.9;57.4;3.83;7.02;18.5;13.3;85.1;14.4;3.9;-3.4;105.9;27384.2;10008.2;21800;19.7;143.3;75255;70899;4355;5.8;1083
01.06.2013;5.5;27389.7;101.22;3717.51;21581.2;128.1;104;14.49;0.08;3.06;106.95;103.5;47.7;37.6;14.7;12777.6;9334.4;3378.9;3915.3;3515.3;400;924.4;10746.92;57.26;4.73;6.58;18.9;12.47;80.4;14.9;3.5;1.2;103.8;30245;10024.9;24990;17.3;143.3;75458;71400;4058;5.4;970
01.09.2013;5.5;28385.37;110.44;-2497.85;21585.7;131.5;92.5;16.68;0.07;4.81;108.54;104.7;45.1;41.6;13.3;13482.6;9992.4;3424.9;4920;3996.8;923.2;790.2;10978.41;54.98;4.8;6.89;18.41;14.92;84.5;15.2;0.8;-0.5;103.2;29600.17;10055.3;25529;17.3;143.4;75981;71992;3988;5.2;879
01.12.2013;5.5;28500.77;108.65;4641.35;21739.8;141.2;96.8;9.69;0.07;-4.22;105.79;106.5;45;41.9;13.1;14071.9;10505.1;3500.7;4932.1;6012.5;-1080.4;1066.3;13130.42;51.8;5.06;7.54;19.02;16.6;75.1;14.8;6.1;4;103.6;33335.67;10030;30533;12.2;143.7;75423;71274;4148;5.5;918
01.03.2014;7;30395.27;106.86;22458.93;21674.4;122.7;80.7;14.84;0.09;3.05;86.11;102.3;49.9;35.7;14.4;13013.1;9515.2;3428.1;3043.4;2592.3;451.1;1373.6;9679.03;59.6;4.09;7.49;11.7;11.7;90;15.6;-5.6;0;71.7;30092.07;10891;22457;13.8;143.7;74979;70835;4144;5.5;941
01.06.2014;7.5;29763.03;106.55;16907.8;21818.1;132.9;90.9;12.7;0.09;5.71;110.01;104.8;48.6;36.2;15.1;13738.6;10138.5;3528.5;4122.2;3640.1;482.1;1295.8;11662.59;55.9;4.5;6.33;14.5;14.5;80.1;14.9;3.3;1.7;118.4;32981.73;10872;27059;12.1;143.8;75287;71496;3792;5;869
01.09.2014;8;30196.7;99.38;86.63;21682.9;126.0;86.7;12.32;0.09;7.51;107.88;106.3;46.1;40.7;13.3;14491.7;10837.8;3580.9;5148.9;4153;995.9;962.4;12052.76;52.4;4.52;6.67;18.1;18.1;82.8;15.4;-0.3;2.1;101.7;31735.7;10911;27965;11.5;143.9;75855;72161;3694;4.9;796
01.12.2014;9.5;30090.23;69.38;-16007.7;21687.5;116.3;69.7;9.06;0.09;-3.82;107.72;111.4;45.5;41.4;13.1;15492.5;11707.2;3709.5;5381;6540.6;-1159.6;1442.6;13914.85;52.8;5.7;7.5;15.5;15.5;77.5;15.2;2.4;4.9;111.8;35706.97;10919;32285;9.1;146.3;75592;71665;3928;5.2;883
01.03.2015;14;31291.47;53.52;26758.59;21496.7;90.3;44.4;15.96;0.11;-2.42;83.45;107.4;50.2;36.7;13.1;13809;10178.1;3554.1;2526.8;2839.1;-312.3;2310.1;11129.77;55.93;4.69;6.58;14.67;14.67;84.2;13.8;10;-8;74.4;31632.03;12102;25364;15.9;146.3;75962;71602;4360;5.7;1001
01.06.2015;12.5;31515.37;61.91;16938.95;21396.3;91.6;58.2;16.78;0.11;-4.47;106.95;108.5;49.7;39.4;10.9;14198.2;10473;3647.4;3768.3;3649.5;118.8;1800.6;13042.57;54.47;5.3;5.91;15.56;15.56;75.1;13.4;11.9;-0.4;115.2;34717.4;12072;29723;14;146.3;76503;72236;4268;5.6;974
